area_id, stop_id
08019,107511
08019,000477
08019,000793
08019,002348
08019,102723
08019,002040
08019,002041
08019,002042
08019,001449
08019,001218
08019,112354
08019,001447
08019,001448
08019,002023
08019,002024
08019,107146
08019,101423
08019,106189
08019,001407
08019,001410
08019,000402
08019,003699
08019,002351
08019,107229
08019,002234
08019,002235
08019,000476
08019,000365
08019,102722
08019,106167
08019,108984
08019,000998
08019,002843
08019,002844
08019,002845
08019,002846
08019,002847
08019,002848
08019,002849
08019,000022
08019,001119
08019,000557
08019,001533
08019,112571
08019,001262
08019,112642
08019,001117
08019,001116
08019,000119
08019,000350
08019,102227
08019,102226
08019,102952
08019,102953
08019,102954
08019,102955
08019,001001
08019,104298
08019,109220
08019,000845
08019,101341
08019,104992
08019,109046
08019,103630
08169,109209
08169,109207
08019,008373
08019,109208
08019,001075
08245,102879
08245,105407
08245,102878
08245,101883
08245,101882
08245,101884
08245,101885
08245,109800
08245,102905
08245,102906
08245,108593
08245,105963
08245,105964
08245,100945
08245,109559
08245,106051
08245,100547
08245,000838
08245,108730
08245,108731
08245,105957
08245,100566
08245,100576
08245,100877
08245,100876
08245,100560
08194,107806
08194,003340
08015,105691
08194,105692
08194,109957
08194,112310
08194,003165
08194,105996
08194,108940
08194,105385
08194,002427
08194,002422
08194,108545
08194,000740
08194,109261
08015,000786
08015,101151
08015,102045
08015,108741
08015,100364
08245,104229
08245,104230
08245,105958
08245,108697
08245,108698
08245,109905
08245,109117
08245,106042
08245,106043
08245,109144
08245,100398
08245,108472
08245,104273
08245,107058
08245,100261
08245,100260
08245,100258
08245,106052
08245,105530
08194,110476
08194,001100
08194,000595
08245,105985
08019,104263
08019,003676
08019,003677
08019,003678
08194,003679
08194,003680
08194,002660
08019,001699
08019,110472
08194,002577
08194,003681
08194,003682
08019,003683
08019,003684
08019,003685
08019,104258
08245,105984
08194,001773
08194,001774
08194,001152
08194,000194
08194,105994
08194,003355
08015,110446
08015,102819
08015,109909
08015,109279
08015,100371
08015,100368
08015,102331
08015,103097
08015,109850
08015,105937
08015,104147
08015,103884
08015,105938
08015,103882
08015,003350
08194,000329
08194,108939
08194,105995
08194,110594
08194,105999
08194,106000
08019,110534
08019,002689
08019,110475
08019,001090
08019,002680
08194,001550
08194,001551
08194,110593
08015,105980
08015,110028
08015,104032
08015,104031
08015,104033
08015,100918
08015,100791
08015,101422
08015,101418
08015,100367
08015,100370
08015,100884
08015,100693
08015,105505
08015,109967
08015,104708
08015,104709
08015,104707
08015,101778
08015,105543
08015,102578
08015,100267
08015,104681
08015,105990
08015,105494
08015,105495
08015,101055
08015,103864
08015,103865
08015,106010
08015,109154
08015,106008
08015,106011
08019,002572
08019,003887
08019,000965
08019,000454
08019,001792
08019,000387
08019,001494
08019,000661
08019,000236
08019,003806
08019,003799
08019,000174
08019,000226
08019,106465
08019,000230
08019,000321
08019,000060
08019,000126
08019,001228
08019,001318
08019,000784
08019,000244
08019,000308
08019,002335
08019,000337
08019,000381
08019,000162
08019,001791
